date,rate,review,weekday
22-05-18,4.0,저렴하게 잘 샀습니다,Wednesday
22-05-05,5.0,적당한 용량에 딱 마시기 좋아요. 냉장고에 채워놓으니 든든하네요,Thursday
22-05-03,5.0,코카콜라 좋아하는 1인으로 할인된 가격에 구매해서 좋아요.잘 배송 됐습니다.,Tuesday
22-05-01,4.0,한번먹기 좋은 양이예요.,Sunday
22-04-30,5.0,배송빠르고 저렴한 가격에 구입했습니다 맛나고 좋아요,Saturday
22-04-29,5.0,"자주 구매합니다. 저렴한 가격, 빠른 배송, 유통은 언제나 롯데!! 응원합니다. 감사합니다.",Friday
22-04-28,5.0,항상 즐겨마시는 탄산음료예요. 저렴하게 구입해서 좋았습니다. 한번에 먹을 수 있는 용량이라서 낭비가 없습니다.,Thursday
22-04-28,5.0,할인받아서 저렴하게 샀어요 박스에 포장되어와서 좋아요,Thursday
22-04-16,5.0,제일 저렴하게 구입했어요,Saturday
22-04-13,4.0,갑자기 콜라 땡길때 아무리 가까운 편의점이라해도 내집만큼 가깝진 않죠  쿠폰있을때 할인할때 가끔 한번씩 쟁여놓아요,Wednesday
22-04-13,5.0,맛있어요 만족합니다,Wednesday
22-04-12,5.0,배송빠르고 늘 먹어요 역시 코크가최고,Tuesday
22-04-07,5.0,2024년 넉넉한 유통기한 박스포장에 딱 맞게 잘 배송되었습니다!!,Thursday
22-03-29,5.0,할인에 할인까지 감사합니당 많이 파세요,Tuesday
22-03-29,5.0,여기저기 다 가봐도 롯데가 가장 착한 가격이에요,Tuesday
22-03-25,5.0,가격도 저렴하고 배송도빨라요,Friday
22-03-24,4.0,행사할때만 기다림! 가격만족! 포장상태 만족! 또 구매합니다!,Thursday
22-03-13,5.0,콜라없이 못사는 신랑위해,Sunday
22-03-11,5.0,우리집 냉장고에 필수 제품!! 한 번에 많은 양을 먹지 못해 적은 양을 택했는데..좋은 선택이였어요!!,Friday
22-03-08,5.0,착한가격.한번마시기좋은용량. 빠른배송.완벽한조합입니다,Tuesday
22-03-04,5.0,잘 받았습니다 감사합니다,Friday
22-03-04,5.0,잘 받았습니다 감사합니다,Friday
