date,rate,review,weekday
24-08-29,5.0,요즘 사이다만 먹다가 콜라 다시 주문. 입맛이 둔해진건지.. 요즘 탄산음료 탄산이 약해지게 느껴.. 다시  콜라주문.. 콜라는 탄산이 조금 더 강했으면 좋겠다.,Thursday
24-06-25,5.0,싸게 잘 샀어요마니 파세여,Tuesday
24-06-23,5.0,무료배송으로 잘왔어요.배송빨라요,Sunday
24-06-20,5.0,맛있는 음료 저렴하게 샀고 편하게 배달도 해주셨어요,Thursday
24-06-19,5.0,잘 받았습니다. 감사합니다,Wednesday
24-04-06,5.0,자주애용하는 필수템입니다,Saturday
25-01-17,3.0,코카콜라 도착 했어요  탄산이 적은 느낌 아쉬움,Friday
24-09-26,5.0,저렴하게 구매했습니다,Thursday
24-09-22,5.0,제로줄알고 잘못샀다는.. 사실 오리지널이 맛있죠ㅋㅋ,Sunday
24-09-19,5.0,라이브로 보다 저렴하게 구입했어요!!,Thursday
24-09-19,5.0,배송과포장이 좋았어요,Thursday
24-09-16,5.0,항상 애용하는 제품입니다,Monday
24-09-16,5.0,늘 애용하는 제품입니다,Monday
24-09-15,5.0,비상 콜라 주문합니다,Sunday
24-09-12,5.0,맛있어요 배송도 잘왔습니다!,Thursday
24-09-12,5.0,꼼꼼하게 포장이 되 있어 늘 안심하고 주문.. 할인매장도 가격이 더 저렴합니다,Thursday
24-09-12,5.0,"가격, 품질, 배송 모두 만족합니다. 항상 여기서 구매하고 있습니다.",Thursday
24-09-11,5.0,빠른배송감사합니다.좋아요,Wednesday
24-09-09,5.0,맛잇고 배송빨라요.,Monday
24-09-05,5.0,회사사람들이 만족해요,Thursday
24-09-01,5.0,"기대이상으로 좋고, 매우 만족합니다",Sunday
24-08-31,5.0,맛잇고 배송이빨라요,Saturday
24-08-27,5.0,파손없이 꼼꼼히 잘 왔어요배송상태 굿,Tuesday
24-08-27,5.0,좋아요 잘 마시고 있어요,Tuesday
24-08-26,5.0,포장과배송상태도 좋았어요,Monday
24-08-23,5.0,좋습니다  감사감사,Friday
24-08-13,5.0,할인해서 저렴하게 샀어요.,Tuesday
24-08-12,5.0,잘 받았습니다,Monday
24-08-08,5.0,자주시키는데 괜찮은거 같아요,Thursday
24-08-05,5.0,넉넉한 기일과 꼼꼼한 포장 감사합니다,Monday
24-08-04,5.0,가격도  좋고  한캔의  양도  알맞고  맛은  물론  좋아요,Sunday
24-07-31,5.0,적당한 가격에 만족합니다,Wednesday
24-07-28,5.0,좋아요 추천합니다.,Sunday
24-07-23,5.0,좋아요 잘 마시고 있어요,Tuesday
24-07-19,5.0,빠른 배송 감사합니다 저렴하게 잘 샀네요,Friday
24-07-17,5.0,항상 주문하는 제품이에요 만족해요,Wednesday
24-07-16,5.0,저렴하게 구매했습니다,Tuesday
24-07-12,5.0,맛있게 잘 먹었습니다. 좋아요!,Friday
24-07-09,5.0,항상 구매하는 상품입니다.,Tuesday
24-07-08,5.0,배송빠르고 제품좋아요,Monday
24-07-06,5.0,저렴하게 잘 구매했어요,Saturday
24-07-06,5.0,끊이면 안되는 간식이에요,Saturday
24-07-05,5.0,코카콜라 작캔은 간편하게먹기딱입니다,Friday
24-07-05,5.0,이 사이즈가 딱! 한번에 먹기 조ㅗ아요,Friday
24-07-04,5.0,양도  남기지  않을 만큼 적당하고  맛도  좋아요,Thursday
24-07-03,5.0,빠른배송에 감사드립니다,Wednesday
24-07-03,5.0,만족합니다! 쓱배송으로 만나 기뻐요,Wednesday
24-07-03,5.0,넉넉히 잘 마시고 있습니다,Wednesday
24-07-01,5.0,가성비 좋게 잘 구매해서 기분 좋아요 포장도 잘 왔어요,Monday
24-03-17,5.0,배송빠르고 안전하게 왔어요,Sunday
24-03-12,5.0,할인받아서 저렴하게 구매했어요,Tuesday
24-03-10,5.0,저렴한 가격에 꼼꼼한 포장 좋았습니다,Sunday
24-03-10,5.0,저렴하게 사서 쟁겨두고 먹으니 좋아요,Sunday
24-03-09,5.0,유통기한도 넉넉하고 종종 할인행사 해주세요.,Saturday
24-02-25,5.0,잘 받았습니다. 남편이 잘 먹고 있습니다.,Sunday
24-02-14,5.0,너무너무 저렴하게 잘 샀어요  감사합니다 맛있어요,Wednesday
24-01-19,5.0,엄청 싼 가격에 구입했어요 배송도 빨랐어요,Friday
24-01-09,5.0,배송빠르고 안전하게 왔어요  저렴하게 잘샀습니다,Tuesday
24-01-06,5.0,저렴하게 구매했어요.,Saturday
23-11-23,5.0,탄산 음료를 자주 먹는 편은 아닌데 요즘 들어 조금 땡겨서 구매했어요. 사이즈가 아담해서 한모금 확인 너무 좋은 거 같아요.,Thursday
23-08-01,5.0,더운 여름에는 더할나위없는 제품입니다. 배송도 빠르고 언전하게 포장돠어 도착했네요.,Tuesday
24-12-26,4.0,항상 믿고 구매하는 상품 입니다 잘 먹고 있어요,Thursday
24-11-06,3.0,캔 하나 옆구리가 찢어져 있어서 밑으로 다 샜더라구요. 찌그러진건 없었는데 어쩌다 찢어진건지 모르겠어요. 한개만 그래요. 반품 귀찮아서 그냥 수령합니다. 유통기한은 26년이라,Wednesday
24-09-23,5.0,최고예요!,Monday
24-08-30,5.0,최고예요!,Friday
24-06-30,5.0,콜라 유통기한 길어요,Sunday
24-06-27,5.0,한 번에 마시기에 부족함 없는 용량입니다,Thursday
24-06-24,5.0,"배송도 빨랐고 좋아요, 맛있ㅇ요",Monday
24-06-22,5.0,자주 구매하는 상품인데.. 쿠폰까지 와서 저렴하게 구매합니다,Saturday
24-06-20,5.0,코카콜라 다량구매하면 가격도 좋아요,Thursday
24-06-12,5.0,배송과포장이 좋았어요,Wednesday
24-06-11,5.0,한번에 먹기 딱 좋은 양입니다,Tuesday
24-06-06,5.0,배송 빠르고 시원해요,Thursday
24-06-04,5.0,항상 애용하는 제품입니다,Tuesday
24-06-04,5.0,시원하게 쟁여두고 먹기 좋아요,Tuesday
24-05-31,5.0,좋아요 추천합니다.,Friday
24-05-28,5.0,좋아요 잘 마시고 있어요,Tuesday
24-05-27,5.0,배송도 빠르고 가성비도 좋아요 재주문 할게요,Monday
24-05-26,5.0,코카콜라 공식 배송이라 늘 믿고 구입합니다  포장상태도 꼼꼼하고 유통기간도 넉넉합니다,Sunday
24-05-19,5.0,만족합니다. 만족합니다,Sunday
24-05-15,5.0,배송빠르고 사이즈 적당 좋아요,Wednesday
24-05-13,5.0,용량 작아서 먹기 편해요,Monday
24-05-08,5.0,늘 맛있는 코카콜라입니다,Wednesday
24-05-06,5.0,포장과배송상태도 잘 받았습니다,Monday
24-05-06,5.0,우리가 아는 맛이에요,Monday
24-05-05,5.0,자주 구매하는 상품입니다. 좋아요,Sunday
24-04-30,5.0,좋아요. 맛있게 먹겠습니다,Tuesday
24-04-28,5.0,좋아요 잘마시고있습니다 굿,Sunday
24-04-27,5.0,콜라는 역시 코카콜라기는 한데 독점이다 보니 요금인상이 수시로 이루어지네요 .,Saturday
24-04-25,5.0,배송 빠르게 잘 받았습니다,Thursday
24-04-24,5.0,배송 빠르게 잘 받았습니다,Wednesday
24-04-20,5.0,좋아요 추천합니다.,Saturday
24-04-19,5.0,사이즈가 죄책감 없고 미시고 싶을때 마실 수 있어 좋아요,Friday
24-04-14,5.0,항상 애용하는 제품입니다,Sunday
24-04-14,5.0,사이즈 좋고 배송 빠르고 좋아요,Sunday
24-04-09,5.0,자주 구매하는 제품입니다,Tuesday
24-04-09,5.0,좋아요 빠룬배송 감사합니다 많이 파세요 굿굿,Tuesday
24-04-05,5.0,코카콜라 넘 잘먹는 아이템,Friday
24-04-04,5.0,한번에  먹기에  적당한 양이라  좋아요,Thursday
24-04-02,5.0,저렴하니깐 자주 사게 됩니다. 자주 구매할 것 같네요.,Tuesday
24-04-01,5.0,탄산음료로는 가장 적합합니다,Monday
24-01-12,5.0,용량이 190ml라 한번 먹을 양으로 적당한데 수퍼나 편의점에선 살수가 없었는데 이마트 앱에선 살 수 있습니다..,Friday
23-12-27,5.0,만족합니다. 감사합니다,Wednesday
23-12-23,5.0,항상 맛있게 먹고 있어요. 작은 용량이라 좋아요,Saturday
