date,star_rate,review
2023.02.16,1.0,"*어서 온 콜라
뜯어보니 30개씩 2박스가 들어있어야할 아래박스가 26개만 ...비닐로 꽁꽁싸매 콜라가 저렇게 되지않았다면 모르고 먹었을터

이건 의도적인 속임수."
2023.02.10,5.0,퍼스트먼데이 행사때마다 여러 혜택받아 착한 가격에 정기적으로 구매합니다
2023.01.27,5.0,만족합니다 만족합니다
2023.01.06,5.0,매달 퍼스트먼데이 행사때마다 착한 가격에 정기적으로 구입합니다
2022.12.28,4.0,배송도빠르고 가격도 저렴하게 잘산거같아요
2022.12.28,4.0,배송도빠르고 가격도 할인되서 저렴하게 구매했어요
2022.12.17,5.0,"역시 아는 맛 카카오 할인까지
굳입니다"
2022.12.10,5.0,"배송 빠르고 맛도 좋고
중독된
재구매 좋습니다"
2022.12.08,5.0,퍼스트먼데이 행사때마다 착한 가격에 구매하고 있어요
2022.12.03,5.0,가격도 착하고 배송도 빠릅니다
2022.11.26,5.0,맛 좋구 배송 빨라 좋습니다
2022.11.21,5.0,"콜라가격이 다 올라서 사야하나 고민중에
롯데마트에서 행사하는걸로 착한가격에 180개 사버렸어요.."
2022.11.05,5.0,배송도 빠르고 매달 좋은 가격에 구매하고 있네요
2022.10.28,5.0,콜라는 떨어지지 않아야죠
2022.09.30,5.0,가격도 저렴하고 조아요
2022.09.28,5.0,만족합니다 만족합니다
2022.09.26,5.0,맛은 보장 배송 빠르고 카카오페이로 싸게 샀네요
2022.09.21,5.0,"빠른 배송 감사합니다.
맛있어서 한번에 2개 먹게되는게 흠이라면 흠이네요 ^^;; 택배아저씨께는 조금 죄송하지만, 집에서 편안히, 좋은 가격에 받아볼 수 있어서 너무 좋아요. 제로콜라가 제 입에는 잘 맞아요. 계속 구입의사 있습니다. 감사해요~^^"
2022.09.11,5.0,항상 재구매하고 있어요
2022.09.09,5.0,"항상 마시는제품입니다
착한가격에 문앞까지 배송되어 고맙습니다"
2022.09.07,4.0,"물건, 포장상태 둘 다 좋아요"
2022.09.07,2.0,"택배기사님때문에 중간에 짜증이 났지만
물건은 좋아요"
2022.09.07,5.0,"배송 포장 만족 입니다
가격도 좋네요"
2022.08.31,5.0,배송정확하고 항상 착한 가격에 정기적으로 구매합니다
2022.08.29,5.0,배송 아주 빠르고 좋네요. 제품 찌그러진 거 없고 잘 왔어요. 저렴하게 잘 사네요
2022.08.29,5.0,코카콜라없이는 못사는 1인입니다.
2022.08.20,5.0,쟁여두고 시원하게 한캔씩 마시기 좋아요!
2022.08.18,5.0,가성비가 매우 좋습니다
2022.08.08,5.0,늘 먹는 제품입니다
2022.08.08,5.0,배송도빠르고 가격도 만족입니다
2022.08.06,5.0,"한번에 먹기도 적당하고, 가격도 이쁘고,
음료중 콜라가 당연 최고라 가족들 모두 중독된듯~~^^"
2022.08.03,5.0,빠른배송 감사합니다 수고하세요
2022.08.01,4.0,빠른 배송 고맙습니다.
2022.07.31,5.0,저렴한 가격에 만족합니다
2022.07.29,5.0,"끊이지 않는 콜라사랑 계속 재구매하고 있어요
이벤트 할인 많이 부탁드려요"
2022.07.29,5.0,"끊이지 않는 콜라사랑 계속 재구매하고 있어요
이벤트 할인 많이 부탁드려요"
2022.07.29,5.0,"끊이지 않는 콜라사랑 계속 재구매하고 있어요
이벤트 할인 많이 부탁드려요"
2022.07.29,5.0,"끊이지 않는 콜라사랑 계속 재구매하고 있어요
이벤트 할인 많이 부탁드려요"
2022.07.24,4.0,"가격이 좀 비싸다는것 빼고,

한번에 마실수있어 조아염."
2022.07.15,5.0,배송도빠르고 좋아요 ~~
2022.07.12,5.0,"배송도 다음날 바로 왔고 포장도 안전하게 이중 박스 포장이었어요. 구매 만족합니다...!!!
구매 추천드려요~~^^"
2022.07.09,5.0,"탄산 귀신을 위한..ㅎㅎ
싸게 잘 샀어요 굿"
2022.07.08,5.0,"롯데on에서 혜택보고 저렴하게 구입합니다
만족해요"
2022.07.05,4.0,배송도 빠르고 타쇼핑몰보다 조금저렴하게구매했어요
2022.07.02,5.0,빠른배송 . 잘 받았습니다. 배송기사님도 감사합니다!!~
2022.07.02,5.0,좋아요 빠르게 왔어요
2022.06.29,5.0,잘 받았습니다. 감사합니다.
2022.06.28,5.0,무거운데 편하게 배송 받았습니다 저렴하게 구입했어요
2022.06.19,5.0,맛도 양도 좋습니다^^
2022.06.13,5.0,대량으로 사서 놓고먹어요 롯데마트몰이 할인을 제일많이해요자주이용해요
2022.06.13,5.0,항상대량으로 사서 놓고먹는데 롯데마트몰이 가격할인에 카드할인까지 제일착한가격에 판매를해서 이용하고ㅈ있어요
2022.06.12,5.0,행사때 저렴하게 구매했어요. 소화제 대신으로 자주 마십니다.
2022.06.08,5.0,"2번째 구매입니다. 퍼스트먼데이 혜택 적용받아
좋은 가격에 구매했네요"
2022.06.06,5.0,탁 쏘는 콜라~ 이 맛이 좋아요! 떨어지면 안돼죠~
2022.06.03,5.0,"60캔 사라지는게 순삭입니다.
역쉬 콜라는 코카콜라요"
2022.05.31,5.0,굿 배송빠르고 맛있어요 늘 먹어요
2022.05.30,5.0,가격도 싸고 배송도 빨랐어요
2022.05.28,4.0,배송도빠르고 가격도 타쇼핑몰보다 저렴하게 잘산거같아요
2022.05.24,5.0,만족합니다 수고하세요
2022.05.24,5.0,만족합니다 수고하세요
2022.05.23,5.0,"박스마다 배송오는날이 다를수있으니 1상자이상주문하신분들은 1상자만왔더라도 걱정안하셔도됩니다 다음날 도착합니다
찌그러지거나 터짐없이 잘받았습니다"
2022.05.18,4.0,저렴하게 잘 샀습니다
2022.05.05,5.0,"적당한 용량에 딱 마시기 좋아요.
냉장고에 채워놓으니 든든하네요"
2022.05.03,5.0,코카콜라 좋아하는 1인으로 할인된 가격에 구매해서 좋아요.잘 배송 됐습니다.
2022.05.01,4.0,한번먹기 좋은 양이예요.
2022.04.30,5.0,배송빠르고 저렴한 가격에 구입했습니다 맛나고 좋아요
2022.04.29,5.0,"자주 구매합니다. 저렴한 가격, 빠른 배송, 유통은 언제나 롯데!!! 응원합니다. 감사합니다."
2022.04.28,5.0,항상 즐겨마시는 탄산음료예요. 저렴하게 구입해서 좋았습니다. 한번에 먹을 수 있는 용량이라서 낭비가 없습니다.
2022.04.28,5.0,할인받아서 저렴하게 샀어요~ 박스에 포장되어와서 좋아요
2022.04.16,5.0,제일 저렴하게 구입했어요
2022.04.13,4.0,갑자기 콜라 땡길때 아무리 가까운 편의점이라해도 내집만큼 가깝진 않죠 ㅎ 쿠폰있을때 할인할때 가끔 한번씩 쟁여놓아요 ㅋ
2022.04.13,5.0,맛있어요 만족합니다
